	ensembl_gene_id	external_gene_id
339	ENSMUSG00000081184	Gm12685
340	ENSMUSG00000064359	mt-Tg
341	ENSMUSG00000084839	Gm14097
342	ENSMUSG00000073959	Olfr584
343	ENSMUSG00000067529	Olfr1423
344	ENSMUSG00000019891	Dcbld1
345	ENSMUSG00000081296	Gm12203
346	ENSMUSG00000064358	mt-Co3
347	ENSMUSG00000086498	Gm12681
348	ENSMUSG00000081662	Gm14098
349	ENSMUSG00000083312	Olfr1374-ps1
350	ENSMUSG00000087395	Gm12705
351	ENSMUSG00000064357	mt-Atp6
352	ENSMUSG00000096152	Gm16442
353	ENSMUSG00000083156	Gm12201
354	ENSMUSG00000084089	Gm14099
355	ENSMUSG00000081733	Gm12852
356	ENSMUSG00000073960	Olfr583
357	ENSMUSG00000028259	Fhl5
358	ENSMUSG00000064356	mt-Atp8
359	ENSMUSG00000084188	Gm12851
360	ENSMUSG00000064355	mt-Tk
361	ENSMUSG00000021440	Cts7
362	ENSMUSG00000064354	mt-Co2
363	ENSMUSG00000073961	Olfr582
364	ENSMUSG00000095076	AC125178.1
365	ENSMUSG00000095201	Vmn1r91
366	ENSMUSG00000085843	A730085A09Rik
367	ENSMUSG00000080918	Gm12202
368	ENSMUSG00000095637	Gm21608
369	ENSMUSG00000064353	mt-Td
370	ENSMUSG00000090718	Gm17376
371	ENSMUSG00000064352	mt-Ts1
372	ENSMUSG00000045792	Olfr578
373	ENSMUSG00000034687	Fras1
374	ENSMUSG00000057890	Olfr1375-ps1
375	ENSMUSG00000064351	mt-Co1
376	ENSMUSG00000081046	Gm12846
377	ENSMUSG00000095728	AC125178.2
378	ENSMUSG00000044042	Fmn1
379	ENSMUSG00000004748	Mtfp1
380	ENSMUSG00000034424	Gcsh
381	ENSMUSG00000038112	AW551984
382	ENSMUSG00000051285	Pcmtd1
383	ENSMUSG00000096645	Spin2e
384	ENSMUSG00000083825	Olfr1376-ps1
385	ENSMUSG00000082144	Gm12788
386	ENSMUSG00000043354	Olfr577
387	ENSMUSG00000027596	a
388	ENSMUSG00000028249	Sdcbp
389	ENSMUSG00000064350	mt-Ty
390	ENSMUSG00000064349	mt-Tc
391	ENSMUSG00000085791	Rpl30-ps9
